news_id,article_title,article_date,event,event_type,url,location_prediction
62f7ce2ed1eafd03bd6feb3a,Ecotourism Is The Solution To Overtourism,2019-07-20T01:30:00.000Z,Overtourism is a grave challenge that is harming the entire tourism industry.,strike,http://risingkashmir.com/news/ecotourism-is-the-solution-to-overtourism,
62f7ce2ed1eafd03bd6feb3a,Ecotourism Is The Solution To Overtourism,2019-07-20T01:30:00.000Z,"Overtourism has been covered in media and publications increasingly as a problem that stems from the very concept of travel, even if Overtourism encompasses just a small part of the very concept of travel.",strike,http://risingkashmir.com/news/ecotourism-is-the-solution-to-overtourism,
62f7ce2ed1eafd03bd6feb3a,Ecotourism Is The Solution To Overtourism,2019-07-20T01:30:00.000Z,"Overtourism is not only completely unsustainable, Overtourism is a growing problem that should be taken seriously.",strike,http://risingkashmir.com/news/ecotourism-is-the-solution-to-overtourism,
62f7ce2ed1eafd03bd6feb3a,Ecotourism Is The Solution To Overtourism,2019-07-20T01:30:00.000Z,"Policy responses to Overtourism are, in many cases, as clumsy and ill-considered as the policies which produced Overtourism in the first place.",strike,http://risingkashmir.com/news/ecotourism-is-the-solution-to-overtourism,
62f7ce2ed1eafd03bd6feb3a,Ecotourism Is The Solution To Overtourism,2019-07-20T01:30:00.000Z,Overtourism can negatively affect travelers’ sentiment as well as the small-scale sustainable tourism industry.,strike,http://risingkashmir.com/news/ecotourism-is-the-solution-to-overtourism,
62f7ce2ed1eafd03bd6feb3a,Ecotourism Is The Solution To Overtourism,2019-07-20T01:30:00.000Z,"Let us be clear from the outset: Overtourism does not result from ecotourism, and the principles of those who extol increasing tourism revenue to a destination at any cost are completely antithetical to those of ecotourism.",strike,http://risingkashmir.com/news/ecotourism-is-the-solution-to-overtourism,
62f7ce2ed1eafd03bd6feb3a,Ecotourism Is The Solution To Overtourism,2019-07-20T01:30:00.000Z,Overtourism—which in Overtourism—which in its simplest form is tourism that harms communities by overuse or destruction of resources through overcrowding's simplest form is tourism that harms communities by overuse or destruction of resources through overcrowding—stems from a lack of concern about destination community health and welfare.,strike,http://risingkashmir.com/news/ecotourism-is-the-solution-to-overtourism,
62f7ce2ed1eafd03bd6feb3a,Ecotourism Is The Solution To Overtourism,2019-07-20T01:30:00.000Z,"Again, a lack of concern about destination community health and welfare is entirely the opposite of the fundamental tenet of ecotourism.",strike,http://risingkashmir.com/news/ecotourism-is-the-solution-to-overtourism,
62f7ce2ed1eafd03bd6feb3e,Islamia College organizes run for women,2019-07-20T01:30:00.000Z,"The Cultural Committee, Islamia College of Science and Commerce organised a theme based ""Run for a Healthy Culture"" from Nehru Park to SKICC at 6 in the morning.",murder,http://risingkashmir.com/news/islamia-college-organizes-run-for-women-,['Nehru Park']
62f7ce2ed1eafd03bd6feb3e,Islamia College organizes run for women,2019-07-20T01:30:00.000Z,"Principal of Islamia College of Science and Commerce, Prof. Dr Sheikh Ajaz Bashir flagged off a theme based ""Run for a Healthy Culture"" and also accompanied the participants to boost the participants's morale.",murder,http://risingkashmir.com/news/islamia-college-organizes-run-for-women-,
62f7ce2ed1eafd03bd6feb3e,Islamia College organizes run for women,2019-07-20T01:30:00.000Z,"a theme based ""Run for a Healthy Culture"" was organised for girls only, to emphasize on importance of health for women folk.",murder,http://risingkashmir.com/news/islamia-college-organizes-run-for-women-,
62f7ce2ed1eafd03bd6feb3f,"DC reviews progress on Shahpur Kandi, Ujh Multipurpose projects",2019-07-20T01:30:00.000Z,"The status of Shahpur Kandi and Ujh Multipurpose projects, besides physical and financial progress under BADP was reviewed by the Deputy Commissioner, Dr. Raghav Langer today, here at a meeting of the concerned agencies.",murder,http://risingkashmir.com/news/dc-reviews-progress-on-shahpur-kandi-ujh-multipurpose-projects,
62f7ce2ed1eafd03bd6feb3f,"DC reviews progress on Shahpur Kandi, Ujh Multipurpose projects",2019-07-20T01:30:00.000Z,"Terming Shahpur Kandi and Ujh Multipurpose projects as flagship projects with potential of becoming game changer for Kathua district, the Deputy Commissioner, Dr. Raghav Langer stressed on removing bottlenecks, if any, for timely execution of Shahpur Kandi and Ujh Multipurpose projects.",murder,http://risingkashmir.com/news/dc-reviews-progress-on-shahpur-kandi-ujh-multipurpose-projects,
62f7ce2ed1eafd03bd6feb3f,"DC reviews progress on Shahpur Kandi, Ujh Multipurpose projects",2019-07-20T01:30:00.000Z,"the Deputy Commissioner, Dr. Raghav Langer further asked for maintaining close coordination among different departments and stakeholders associated with Shahpur Kandi and Ujh Multipurpose projects.",murder,http://risingkashmir.com/news/dc-reviews-progress-on-shahpur-kandi-ujh-multipurpose-projects,
62f7ce2ed1eafd03bd6feb40,DC Doda flags off Hajj pilgrims,2019-07-20T01:30:00.000Z,"Deputy Commissioner Doda, Dr Sagar D Doifode flagged off 2nd batch of 61 Hajj pilgrims, here today.",murder,http://risingkashmir.com/news/dc-doda-flags-off-hajj-pilgrims,
62f7ce2ed1eafd03bd6feb40,DC Doda flags off Hajj pilgrims,2019-07-20T01:30:00.000Z,"ADDC Doda Imam Din, SSP Doda Shabir Ahmed Malik, ACR Doda Kaiser Ahmed Bhawani, team of civil and police officers, besides a large number of people were present to see off 2nd batch of 61 Hajj pilgrims.",murder,http://risingkashmir.com/news/dc-doda-flags-off-hajj-pilgrims,
62f7ce2ed1eafd03bd6feb42,DC takes stock of development activities in Rajouri town,2019-07-20T01:30:00.000Z,"District Development Commissioner, Rajouri Mohammad Aijaz Asad today conducted an extensive tour of Rajouri to take stock of ongoing developmental activities.",strike,http://risingkashmir.com/news/dc-takes-stock-of-development-activities-in-rajouri-town,['Rajouri']
62f7ce2ed1eafd03bd6feb42,DC takes stock of development activities in Rajouri town,2019-07-20T01:30:00.000Z,"District Development Commissioner, Rajouri Mohammad Aijaz Asad inspected major works including the development of park, Bus Stand, blacktopping of roads and construction of drainage system in Bella colony and adjoining areas.",strike,http://risingkashmir.com/news/dc-takes-stock-of-development-activities-in-rajouri-town,['Bella']
62f7ce2ed1eafd03bd6feb4a,PDP holds day-long convention at Khanyar,2019-07-20T01:30:00.000Z,"Senior party leaders, functionaries pledge to take party’s mission forward A day-long workers convention of Khanyar assembly segment was held on Friday by party’s with senior party leaders and functionaries attending A day-long workers convention of Khanyar assembly segment.",strike,http://risingkashmir.com/news/pdp-holds-day-long-convention-at-khanyar,['Khanyar']
62f7ce2ed1eafd03bd6feb4d,JK Cong protests against detention of Priyanka Gandhi in UP,2019-07-20T01:30:00.000Z,Congress workers Friday held a protest here against the detention of party leader Priyanka Gandhi Vadra by police in Uttar Pradesh's Mirzapur district.,protest,http://risingkashmir.com/news/jk-cong-protests-against-detention-of-priyanka-gandhi-in-up,['Uttar Pradesh']
62f7ce2ed1eafd03bd6feb4d,JK Cong protests against detention of Priyanka Gandhi in UP,2019-07-20T01:30:00.000Z,"party leader Priyanka Gandhi Vadra was on Friday detained and stopped from going to Sonbhadra where 10 people were gunned down this week and taken to a guesthouse after party leader Priyanka Gandhi Vadra squatted on the road, insisting that party leader Priyanka Gandhi Vadra be allowed to proceed.",protest,http://risingkashmir.com/news/jk-cong-protests-against-detention-of-priyanka-gandhi-in-up,['Sonbhadra']
62f7ce2ed1eafd03bd6feb4e,No let-up in stray dog attacks in Uri,2019-07-20T01:30:00.000Z,The stray dog menace continues to unleash terror among the people in this border town of north Kashmir’s Baramulla district as two persons became fresh victims to the canine bite on Friday morning.,terror,http://risingkashmir.com/news/no-let-up-in-stray-dog-attacks-in-uri,"['Kashmir', 'Baramulla']"
62f7ce2ed1eafd03bd6feb4e,No let-up in stray dog attacks in Uri,2019-07-20T01:30:00.000Z,"Last week, six persons sustained injuries in a dog bite incident in the area.",terror,http://risingkashmir.com/news/no-let-up-in-stray-dog-attacks-in-uri,
62f7ce2ed1eafd03bd6feb4f,"DGP releases ‘Beyond Alcoholism, Drug Addiction’",2019-07-20T01:30:00.000Z,"Director General of Police, Dilbag Singh on Friday released a book titled “Beyond Alcoholism and Drug Addiction” written by Ajay Vaid at Police Headquarters, Srinagar.",fight,http://risingkashmir.com/news/dgp-releases-beyond-alcoholism-drug-addiction,
