news_id,news_title,event,location_prediction,village,district,state,date_prediction,event_type,url
62f7ce2ed1eafd03bd6feb3f,"DC reviews progress on Shahpur Kandi, Ujh Multipurpose projects","Terming Shahpur Kandi and Ujh Multipurpose projects as flagship projects with potential of becoming game changer for Kathua district, the Deputy Commissioner, Dr. Raghav Langer stressed on removing bottlenecks, if any, for timely execution of Shahpur Kandi and Ujh Multipurpose projects.",Kathua,Kathua,Kathua,JAMMU & KASHMIR,2019-07-20T01:30:00.000Z,murder,http://risingkashmir.com/news/dc-reviews-progress-on-shahpur-kandi-ujh-multipurpose-projects
62f7ce2ed1eafd03bd6feb3f,"DC reviews progress on Shahpur Kandi, Ujh Multipurpose projects","the Deputy Commissioner, Dr. Raghav Langer further asked for maintaining close coordination among different departments and stakeholders associated with Shahpur Kandi and Ujh Multipurpose projects.",Shahpur Kandi,,,,2019-07-20T01:30:00.000Z,murder,http://risingkashmir.com/news/dc-reviews-progress-on-shahpur-kandi-ujh-multipurpose-projects
62f7ce2ed1eafd03bd6feb42,DC takes stock of development activities in Rajouri town,"District Development Commissioner, Rajouri Mohammad Aijaz Asad inspected major works including the development of park, Bus Stand, blacktopping of roads and construction of drainage system in Bella colony and adjoining areas.",Bella,,,,2019-07-20T01:30:00.000Z,strike,http://risingkashmir.com/news/dc-takes-stock-of-development-activities-in-rajouri-town
62f7ce2ed1eafd03bd6feb4e,No let-up in stray dog attacks in Uri,"Last week, six persons sustained injuries in a dog bite incident in the area.",Baramulla,Baramulla,Baramula,JAMMU & KASHMIR,2019-07-20T01:30:00.000Z,terror,http://risingkashmir.com/news/no-let-up-in-stray-dog-attacks-in-uri
62f7ce2ed1eafd03bd6feb4f,"DGP releases ‘Beyond Alcoholism, Drug Addiction’","On this occasion, Director General of Police, Dilbag Singh said that the narrative of a book titled “Beyond Alcoholism and Drug Addiction” written by Ajay Vaid is the need of the hour.",Srinagar,Srinagar,Srinagar,JAMMU & KASHMIR,2019-07-20T01:30:00.000Z,fight,http://risingkashmir.com/news/dgp-releases-beyond-alcoholism-drug-addiction
62f7ce2ed1eafd03bd6feb4f,"DGP releases ‘Beyond Alcoholism, Drug Addiction’","Director General of Police, Dilbag Singh said that J&K Police has already tightened the noose on the menace of drugs; many steps are being taken to fight drugs.",Srinagar,Srinagar,Srinagar,JAMMU & KASHMIR,2019-07-20T01:30:00.000Z,fight,http://risingkashmir.com/news/dgp-releases-beyond-alcoholism-drug-addiction
62f7ce2ed1eafd03bd6feb4f,"DGP releases ‘Beyond Alcoholism, Drug Addiction’","Director General of Police, Dilbag Singh said that a book titled “Beyond Alcoholism and Drug Addiction” written by Ajay Vaid not only provides information about drug abuse and drug abuse's effects but also informs that addiction is a treatable disorder.",Srinagar,Srinagar,Srinagar,JAMMU & KASHMIR,2019-07-20T01:30:00.000Z,fight,http://risingkashmir.com/news/dgp-releases-beyond-alcoholism-drug-addiction
62f7ce2ed1eafd03bd6feb57,Police foils militant bid to snatch weapons,"As per reports, militants fired upon a party of special operations group (SOG) while a party of special operations group (SOG) were at a petrol filling station at Aamnoo area of Qazigund in south Kashmir’s Kulgam district.",Kulgam,Kulgam,Kulgam,JAMMU & KASHMIR,2019-07-20T01:30:00.000Z,kidnap,http://risingkashmir.com/news/police-foils-militant-bid-to-snatch-weapons
62f7ce2ed1eafd03bd6feb57,Police foils militant bid to snatch weapons,"fired was retaliated by a party of special operations group (SOG) special operations group (SOG) and in the meantime, reinforcements of army’s 9 RR and police reached the spot and launched the searches in Aamnoo area of Qazigund in south Kashmir’s Kulgam district.",Kulgam,Kulgam,Kulgam,JAMMU & KASHMIR,2019-07-20T01:30:00.000Z,kidnap,http://risingkashmir.com/news/police-foils-militant-bid-to-snatch-weapons
62f7ce2ed1eafd03bd6feb68,Israeli Spyware Firm Claims It Can Mine Data From Social Media,"JERUSALEM — An Israeli spyware firm thought to have hacked WhatsApp in the past is based in the Israeli seaside hi-tech hub of Herzliya, near Tel Aviv.",Herzliya,,,,2019-07-20T05:25:14.000Z,attack,https://kashmirobserver.net/2019/world-news/israeli-spyware-firm-claims-it-can-mine-data-social-media-44922
62f7ce2ed1eafd03bd6feb6a,Tit-for-Tat: Iran Seizes British Tanker in Persian Gulf,"sweeping economic sanctions on Iran, including its oil exports have hit the Iranian economy hard.",Iran,,,,2019-07-20T05:53:41.000Z,murder,https://kashmirobserver.net/2019/world-news/tit-tat-iran-seizes-british-tanker-persian-gulf-44904
62f7ce2ed1eafd03bd6feb6b,King Salman OK's Deployment Of 500 US Troops In Saudi Arabia,"US forces were present in the kingdom for 12 years, starting with Operation Desert Storm in 1991, when former Iraqi dictator Saddam Hussein invaded Kuwait.At the peak of the war with IraqIraq , 200 US aircraft were stationed at the Prince Sultan Air Base, located in a desert area east of the Saudi capital Riyadh.",Riyadh,,,,2019-07-20T05:53:42.000Z,attack,https://kashmirobserver.net/2019/world-news/king-salman-oks-deployment-500-us-troops-saudi-arabia-44924
62f7ce2ed1eafd03bd6feb6b,King Salman OK's Deployment Of 500 US Troops In Saudi Arabia,"As many as 2,700 missions a day were also handled by the headquarters in the kingdom.Since 2015, the United States has been supporting a a Saudi-led war against Yemen that seeks to reinstall Yemen's former Riyadh-backed officials.",Yemen,,,,2019-07-20T05:53:42.000Z,attack,https://kashmirobserver.net/2019/world-news/king-salman-oks-deployment-500-us-troops-saudi-arabia-44924
62f7ce2ed1eafd03bd6feb6b,King Salman OK's Deployment Of 500 US Troops In Saudi Arabia,some of THAAD interceptor missiles are set to be delivered to the kingdomthe United States's .The arms exports and deployment of troops come against the backdrop of rising tensions between Iran and the United States in the Persian Gulf.,Iran,,,,2019-07-20T05:53:42.000Z,attack,https://kashmirobserver.net/2019/world-news/king-salman-oks-deployment-500-us-troops-saudi-arabia-44924
62f7ce2ed1eafd03bd6feb81,Priyanka Gandhi detention: Cong workers stage protest in Jaipur,Priyanka Gandhi detention: Cong workers stage protest in Jaipur.,Jaipur,,,,2019-07-20T08:23:15.000Z,protest,http://feedproxy.google.com/~r/KashmirImagesNewspaper/~3/pWR2NVMW4hg/
